plant_id	plant_name	plant_location	parsed_genus	parsed_species	parsed_var	parsed_cultivar	is_various	match_path	confidence	match_full_name	candidate_count	alt_paths
F23	S. flava var. rugelii exceptional clone#2	Okaloosa Co, FL	Sarracenia	flava	rugelii	exceptional clone#2		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	medium	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/clone-1-okaloosa-co-fl | sarracenia/flava/var-rugelii/clone-1-okaloosa-fl | sarracenia/flava/var-rugelii/copper-blush-okaloosa-co-fl | sarracenia/flava/var-rugelii/jh319-okaloosa-fl
F24	S. flava var. rugelii 'copper tinge'	Santa Rosa Co, FL	Sarracenia	flava	rugelii	copper tinge		sarracenia/flava/var-rugelii/copper-tinge-mk-f17-milton-fl	high	Sarracenia flava var. rugelii 'copper tinge' (MK F17) Milton, Santa Rosa Co, FL	1	
F25	S. flava var. rugelii	Brooks Co, GA	Sarracenia	flava	rugelii			sarracenia/flava/var-rugelii/brooks-ga	medium	Sarracenia flava var. rugelii Brooks Co, GA	1	
F26	S. flava var. rugelii	Ben Hill Co, GA	Sarracenia	flava	rugelii			sarracenia/flava/var-rugelii/ben-hill-co-ga	medium	Sarracenia flava var. rugelii Ben Hill Co, GA	1	
F27	S. flava var. rugelii Florida clone B	Florida	Sarracenia	flava	rugelii	Florida clone B		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	low	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/ben-hill-co-ga | sarracenia/flava/var-rugelii/bob-hanrahan | sarracenia/flava/var-rugelii/brooks-ga | sarracenia/flava/var-rugelii/clone-1-liberty-fl
F28	S. flava var. rugelii clone D	Cultivated Clone	Sarracenia	flava	rugelii			sarracenia/flava/var-rugelii/clone-d-very-red-throat	high	Sarracenia flava var. rugelii 'Clone D' (very red throat)	1	
F29	S. flava var. rugelii clone F	Liberty Co, FL (90% confident)	Sarracenia	flava	rugelii			sarracenia/flava/var-rugelii/clone-1-liberty-fl	medium	Sarracenia flava var. rugelii clone#1 Liberty Co, FL	5	sarracenia/flava/var-rugelii/clone-a-liberty-fl | sarracenia/flava/var-rugelii/eye-of-tron-liberty-fl | sarracenia/flava/var-rugelii/multi-liberty-fl | sarracenia/flava/var-rugelii/super-yellow-liberty-fl
F31	S. flava var. rugelii GIANT clone H	Ben Hill Co, GA	Sarracenia	flava	rugelii	GIANT clone H		sarracenia/flava/var-rugelii/ben-hill-co-ga	medium	Sarracenia flava var. rugelii Ben Hill Co, GA	1	
F32	S. flava var. rugelii AxB clone #1	Cross Breeding	Sarracenia	flava	rugelii	AxB clone #1		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	low	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/ben-hill-co-ga | sarracenia/flava/var-rugelii/bob-hanrahan | sarracenia/flava/var-rugelii/brooks-ga | sarracenia/flava/var-rugelii/clone-1-liberty-fl
F33	S. flava var. rugelii AxB clone #2	Cross Breeding	Sarracenia	flava	rugelii	AxB clone #2		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	low	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/ben-hill-co-ga | sarracenia/flava/var-rugelii/bob-hanrahan | sarracenia/flava/var-rugelii/brooks-ga | sarracenia/flava/var-rugelii/clone-1-liberty-fl
F34	S. flava var. rugelii GIANT 'Bob Hanrahan'	Colquitt Co, GA	Sarracenia	flava	rugelii	Bob Hanrahan		sarracenia/flava/var-rugelii/bob-hanrahan	high	Sarracenia flava var. rugelii 'Bob Hanrahan'	2	sarracenia/flava/var-rugelii/giant-2at-x-bob-hanrahan
F35	S. flava var. rugelii GIANT (Bob Hanrahan x 2AT)	Cross Breeding	Sarracenia	flava	rugelii	GIANT (Bob Hanrahan x 2AT)		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	low	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/ben-hill-co-ga | sarracenia/flava/var-rugelii/bob-hanrahan | sarracenia/flava/var-rugelii/brooks-ga | sarracenia/flava/var-rugelii/clone-1-liberty-fl
F36	S. flava var. rugelii	Santa Rosa Co, FL	Sarracenia	flava	rugelii			sarracenia/flava/var-rugelii/copper-tinge-mk-f17-milton-fl	medium	Sarracenia flava var. rugelii 'copper tinge' (MK F17) Milton, Santa Rosa Co, FL	1	
F37	S. flava var. rugelii	Bulloch Co, GA	Sarracenia	flava	rugelii			sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	low	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/ben-hill-co-ga | sarracenia/flava/var-rugelii/bob-hanrahan | sarracenia/flava/var-rugelii/brooks-ga | sarracenia/flava/var-rugelii/clone-1-liberty-fl
F38	S. flava var. rugelii	Okaloosa Co, FL	Sarracenia	flava	rugelii			sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	medium	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/clone-1-okaloosa-co-fl | sarracenia/flava/var-rugelii/clone-1-okaloosa-fl | sarracenia/flava/var-rugelii/copper-blush-okaloosa-co-fl | sarracenia/flava/var-rugelii/jh319-okaloosa-fl
F39	S. flava var. rugelii clone#1	Okaloosa Co, FL	Sarracenia	flava	rugelii	clone#1		sarracenia/flava/var-rugelii/clone-1-liberty-fl	high	Sarracenia flava var. rugelii clone#1 Liberty Co, FL	2	sarracenia/flava/var-rugelii/clone-1-okaloosa-fl
F40	S. flava var. rugelii 'biggest seedling'	Defuniak Springs, FL	Sarracenia	flava	rugelii	biggest seedling		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	low	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/ben-hill-co-ga | sarracenia/flava/var-rugelii/bob-hanrahan | sarracenia/flava/var-rugelii/brooks-ga | sarracenia/flava/var-rugelii/clone-1-liberty-fl
F41	S. flava var. rugelii 'wide mouth'	Defuniak Springs, FL	Sarracenia	flava	rugelii	wide mouth		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	low	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/ben-hill-co-ga | sarracenia/flava/var-rugelii/bob-hanrahan | sarracenia/flava/var-rugelii/brooks-ga | sarracenia/flava/var-rugelii/clone-1-liberty-fl
F42	S. flava var. rugelii clone#2	Defuniak Springs, FL	Sarracenia	flava	rugelii	clone#2		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	low	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/ben-hill-co-ga | sarracenia/flava/var-rugelii/bob-hanrahan | sarracenia/flava/var-rugelii/brooks-ga | sarracenia/flava/var-rugelii/clone-1-liberty-fl
F43	S. flava var. rugelii clone#1	Covington Co, AL	Sarracenia	flava	rugelii	clone#1		sarracenia/flava/var-rugelii/clone-1-liberty-fl	high	Sarracenia flava var. rugelii clone#1 Liberty Co, FL	2	sarracenia/flava/var-rugelii/clone-1-okaloosa-fl
F44	S. flava var. rugelii	Evans Co, GA	Sarracenia	flava	rugelii			sarracenia/flava/var-rugelii/evans-ga	medium	Sarracenia flava var. rugelii Evans Co, GA	1	
F45	S. flava var. rugelii GIANT 'shooter site'	Okaloosa Co, FL	Sarracenia	flava	rugelii	shooter site		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	medium	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/clone-1-okaloosa-co-fl | sarracenia/flava/var-rugelii/clone-1-okaloosa-fl | sarracenia/flava/var-rugelii/copper-blush-okaloosa-co-fl | sarracenia/flava/var-rugelii/jh319-okaloosa-fl
F46	S. flava var. rugelii GIANT 'copper blush'	Okaloosa Co, FL	Sarracenia	flava	rugelii	copper blush		sarracenia/flava/var-rugelii/copper-blush-okaloosa-co-fl	high	Sarracenia flava var. rugelii 'copper blush' Okaloosa Co, FL	1	
F47	S. flava var. rugelii 'GIANT'	Eastern AL	Sarracenia	flava	rugelii	GIANT		sarracenia/flava/var-rugelii/2at-giant-okaloosa-fl	high	Sarracenia flava var. rugelii '2AT GIANT' Okaloosa Co, FL	5	sarracenia/flava/var-rugelii/giant-2at-x-bob-hanrahan | sarracenia/flava/var-rugelii/giant-colquitt-ga | sarracenia/flava/var-rugelii/giant-thomas-co-ga | sarracenia/flava/var-rugelii/yellow-giant
F48	S. flava var. rugelii (Dean Cook)	Thomas Co, GA	Sarracenia	flava	rugelii	(Dean Cook)		sarracenia/flava/var-rugelii/giant-thomas-co-ga	medium	Sarracenia flava var. rugelii 'Giant' Thomas Co, GA	1	
F49	S. flava 'Killer 2.0'	Okaloosa Co, FL	Sarracenia	flava		Killer 2.0		sarracenia/flava/killer-2-okaloosa-fl	high	Sarracenia flava 'killer 2.0' Okaloosa Co, FL	1	
F50	S. flava 'extreme red throat'	Bay Co, FL	Sarracenia	flava		extreme red throat		sarracenia/flava/extreme-red-throat-bay-fl	high	Sarracenia flava 'Extreme Red Throat' (ERT) Bay Co, FL — and Super ERT (SERT)	3	sarracenia/flava/var-atropurpurea/ert-okaloosa-fl | sarracenia/flava/var-ornata/black-veins-extreme-red-throat
F51	S. flava 'super extreme red throat'	Bay Co, FL	Sarracenia	flava		super extreme red throat		sarracenia/flava/all-red-l-x-best-clone-liberty-fl	low	Sarracenia flava 'all red' (L x best clone) Liberty Co, FL	5	sarracenia/flava/all-red-l-x-best-liberty-fl | sarracenia/flava/anthocyanin-free-brunswick-nc | sarracenia/flava/anthocyanin-free-liberty-fl | sarracenia/flava/bronze-sheridan
F52	S. flava var. flava 'dark red throat'	Brunswick Co, NC	Sarracenia	flava	flava	dark red throat		sarracenia/flava/var-flava/lemon-yellow-brunswick-nc	medium	Sarracenia flava var. flava 'LEMON YELLOW' Brunswick Co, NC	2	sarracenia/flava/var-flava/red-throat-brunswick-nc
F53	S. flava var. flava	Carteret Co, NC	Sarracenia	flava	flava			sarracenia/flava/var-flava/cartaret-nc	low	Sarracenia flava var. flava Cartaret Co, NC	5	sarracenia/flava/var-flava/cumberland-nc | sarracenia/flava/var-flava/duplin-nc | sarracenia/flava/var-flava/giant-berkeley-sc | sarracenia/flava/var-flava/giant-don-schnell
F54	S. flava 'HEAVY VEINS'	Carolina genetics (likely)	Sarracenia	flava		HEAVY VEINS		sarracenia/flava/heavy-veins-rob-co	high	Sarracenia flava 'heavy veins' (ex Rob Co / Pitcher Plant Project)	2	sarracenia/flava/var-ornata/tall-vigorous-heavy-veins-okaloosa-fl
F55	S. flava var. flava	Sneads Ferry, Onslow Co, NC	Sarracenia	flava	flava			sarracenia/flava/var-flava/sneads-ferry-onslow-nc-population	medium	Sarracenia flava var. flava Snead's Ferry, Onslow Co, NC — population	1	
F55a	S. flava var. flava (various clones)	Craven Co, NC	Sarracenia	flava	flava		yes	sarracenia/flava/var-flava/cartaret-nc	low	Sarracenia flava var. flava Cartaret Co, NC	5	sarracenia/flava/var-flava/cumberland-nc | sarracenia/flava/var-flava/duplin-nc | sarracenia/flava/var-flava/giant-berkeley-sc | sarracenia/flava/var-flava/giant-don-schnell
F56	S. flava var. maxima	Craven Co, NC	Sarracenia	flava	maxima			sarracenia/flava/var-maxima/berkeley-co-sc-2013-clone	low	Sarracenia flava var. maxima Berkeley Co, SC (2013-acquired clone)	5	sarracenia/flava/var-maxima/brooks-ga | sarracenia/flava/var-maxima/cartaret-nc | sarracenia/flava/var-maxima/clone-1-berkeley-sc | sarracenia/flava/var-maxima/clone-3-berkeley-sc
F58	S. flava var. flava	Montgomery Co, NC	Sarracenia	flava	flava			sarracenia/flava/var-flava/montgomery-nc	medium	Sarracenia flava var. flava (and maxima) Montgomery Co, NC	1	
F60	S. flava var. maxima	Carteret Co, NC	Sarracenia	flava	maxima			sarracenia/flava/var-maxima/berkeley-co-sc-2013-clone	low	Sarracenia flava var. maxima Berkeley Co, SC (2013-acquired clone)	5	sarracenia/flava/var-maxima/brooks-ga | sarracenia/flava/var-maxima/cartaret-nc | sarracenia/flava/var-maxima/clone-1-berkeley-sc | sarracenia/flava/var-maxima/clone-3-berkeley-sc
F61	S. flava var. maxima GIANT (MK)	N. Carolina	Sarracenia	flava	maxima	GIANT (MK)		sarracenia/flava/var-maxima/berkeley-co-sc-2013-clone	low	Sarracenia flava var. maxima Berkeley Co, SC (2013-acquired clone)	5	sarracenia/flava/var-maxima/brooks-ga | sarracenia/flava/var-maxima/cartaret-nc | sarracenia/flava/var-maxima/clone-1-berkeley-sc | sarracenia/flava/var-maxima/clone-3-berkeley-sc
F62	S. flava var. maxima	Berkeley Co, SC	Sarracenia	flava	maxima			sarracenia/flava/var-maxima/berkeley-co-sc-2013-clone	medium	Sarracenia flava var. maxima Berkeley Co, SC (2013-acquired clone)	3	sarracenia/flava/var-maxima/clone-1-berkeley-sc | sarracenia/flava/var-maxima/clone-3-berkeley-sc
F63	S. flava var. maxima clone#1	Berkeley Co, SC	Sarracenia	flava	maxima	clone#1		sarracenia/flava/var-maxima/clone-1-berkeley-sc	high	Sarracenia flava var. maxima clone#1 Berkeley Co, SC (VERY YELLOW!)	1	
F64	S. flava var. maxima GIANT	Horry Co, SC	Sarracenia	flava	maxima	GIANT		sarracenia/flava/var-maxima/horry-sc	medium	Sarracenia flava var. maxima Horry Co, SC	1	
F66	S. flava var. ornata	Gulf Coast, FL	Sarracenia	flava	ornata			sarracenia/flava/var-ornata/1at-clone-1-okaloosa-fl	low	Sarracenia flava var. ornata 1AT clone#1 Okaloosa Co, FL	5	sarracenia/flava/var-ornata/1at-okaloosa-fl | sarracenia/flava/var-ornata/big-vigorous-walton-fl | sarracenia/flava/var-ornata/black-lips | sarracenia/flava/var-ornata/black-veins-bulloch-ga-clone-e
F67	S. flava var. ornata 'OUTLAW' (various clones)	Bay Co, FL	Sarracenia	flava	ornata	OUTLAW	yes	sarracenia/flava/var-ornata/cooks-bayou-bay-fl	medium	Sarracenia flava var. ornata Cook's Bayou, Bay Co, FL	2	sarracenia/flava/var-ornata/red-rim-outlaw-bay-fl
F68	S. flava var. ornata 'outlaw' red infused	Bay Co, FL	Sarracenia	flava	ornata	outlaw		sarracenia/flava/var-ornata/red-rim-outlaw-bay-fl	high	Sarracenia flava var. ornata 'Red Rim' Outlaw site, Bay Co, FL	1	
F68b	S. flava var. ornata 'BLACK VEINS'	Bulloch County, GA	Sarracenia	flava	ornata	BLACK VEINS		sarracenia/flava/var-ornata/black-veins-bulloch-ga-clone-e	high	Sarracenia flava var. ornata 'black veins' Clone E Bulloch Co, GA	5	sarracenia/flava/var-ornata/black-veins-bulloch-ga | sarracenia/flava/var-ornata/black-veins-extreme-red-throat | sarracenia/flava/var-ornata/black-veins-okaloosa-fl | sarracenia/flava/var-ornata/improved-black-veins
F69	S. flava var. ornata 'Improved'	Cultivated Selection	Sarracenia	flava	ornata	Improved		sarracenia/flava/var-ornata/improved-prince-george-x-bulloch	high	Sarracenia flava var. ornata 'improved' (Prince George Co, VA × Bulloch Co, GA)	1	
F70	S. flava var. ornata 'improved black veins'	Cultivated Selection	Sarracenia	flava	ornata	improved black veins		sarracenia/flava/var-ornata/improved-black-veins	high	Sarracenia flava var. ornata 'Improved Black Veins' (IBV) — Mike Wang's 3-generation breeding line	1	
F71	S. flava var. ornata 'black veins/extreme red throat'	Cultivated Selection	Sarracenia	flava	ornata	black veins/extreme red throat		sarracenia/flava/var-ornata/1at-clone-1-okaloosa-fl	low	Sarracenia flava var. ornata 1AT clone#1 Okaloosa Co, FL	5	sarracenia/flava/var-ornata/1at-okaloosa-fl | sarracenia/flava/var-ornata/big-vigorous-walton-fl | sarracenia/flava/var-ornata/black-lips | sarracenia/flava/var-ornata/black-veins-bulloch-ga-clone-e
F73	S. flava var. ornata	Walton Co, FL	Sarracenia	flava	ornata			sarracenia/flava/var-ornata/big-vigorous-walton-fl	medium	Sarracenia flava var. ornata 'big, vigorous' Walton Co, FL	3	sarracenia/flava/var-ornata/lions-mane-walton-fl | sarracenia/flava/var-ornata/walton-co-fl-population
F74	S. flava var. ornata 'solid red throat'	Walton Co, FL	Sarracenia	flava	ornata	solid red throat		sarracenia/flava/var-ornata/improved-solid-red-throat	high	Sarracenia flava var. ornata 'improved' 'solid red throat'	1	
F77	S. flava var. ornata Cook's bayou	Bay Co, FL	Sarracenia	flava	ornata	Cook's bayou		sarracenia/flava/var-ornata/cooks-bayou-bay-fl	high	Sarracenia flava var. ornata Cook's Bayou, Bay Co, FL	1	
F77a	S. flava var. ornata (Burgundy x L)	Cross Breeding	Sarracenia	flava	ornata	(Burgundy x L)		sarracenia/flava/var-ornata/1at-clone-1-okaloosa-fl	low	Sarracenia flava var. ornata 1AT clone#1 Okaloosa Co, FL	5	sarracenia/flava/var-ornata/1at-okaloosa-fl | sarracenia/flava/var-ornata/big-vigorous-walton-fl | sarracenia/flava/var-ornata/black-lips | sarracenia/flava/var-ornata/black-veins-bulloch-ga-clone-e
F77B	S. flava var. ornata '123'	Liberty Co, FL	Sarracenia	flava	ornata	123		sarracenia/flava/var-ornata/clone-123-liberty-fl	high	Sarracenia flava var. ornata clone#123 Liberty Co, FL	1	
F78	S. flava var. cuprea	McClellanville, SC	Sarracenia	flava	cuprea			sarracenia/flava/var-cuprea/berkeley-sc	low	Sarracenia flava var. cuprea Berkeley Co, SC	5	sarracenia/flava/var-cuprea/best-clone-cc-bob-hanrahan | sarracenia/flava/var-cuprea/best-clone | sarracenia/flava/var-cuprea/bill-hoyer-x-botanique | sarracenia/flava/var-cuprea/bill-hoyer
F80	S. flava var. cuprea 'Lois clone'	Carolinas	Sarracenia	flava	cuprea	Lois clone		sarracenia/flava/var-cuprea/lois-clone	high	Sarracenia flava var. cuprea 'Lois clone' (Lois Ochs / Raccoon Ridge Nursery origin)	1	
F81	S. flava var. cuprea (Bill Hoyer x Botanique)	Cross Breeding	Sarracenia	flava	cuprea	(Bill Hoyer x Botanique)		sarracenia/flava/var-cuprea/berkeley-sc	low	Sarracenia flava var. cuprea Berkeley Co, SC	5	sarracenia/flava/var-cuprea/best-clone-cc-bob-hanrahan | sarracenia/flava/var-cuprea/best-clone | sarracenia/flava/var-cuprea/bill-hoyer-x-botanique | sarracenia/flava/var-cuprea/bill-hoyer
F82	S. flava var. cuprea 'Chocolate Top'	Cultivated Clone	Sarracenia	flava	cuprea	Chocolate Top		sarracenia/flava/var-cuprea/botanique-x-chocolate-top	high	Sarracenia flava var. cuprea (Botanique × 'Chocolate Top') — select clone	2	sarracenia/flava/var-cuprea/chocolate-top
F83	S. flava var. cuprea (Chocolate top x botanique) 'best clone'	Cross Breeding	Sarracenia	flava	cuprea	best clone		sarracenia/flava/var-cuprea/best-clone-cc-bob-hanrahan	high	Sarracenia flava var. cuprea 'best clone' (CC / Bob Hanrahan source)	1	
F84	S. flava var. cuprea 'Bill Hoyer'	Cultivated Clone	Sarracenia	flava	cuprea	Bill Hoyer		sarracenia/flava/var-cuprea/bill-hoyer-x-botanique	high	Sarracenia flava var. cuprea (Bill Hoyer × Botanique)	2	sarracenia/flava/var-cuprea/bill-hoyer
F85	S. flava var. cuprea clone A	Brunswick Co, NC	Sarracenia	flava	cuprea			sarracenia/flava/var-cuprea/clone-a-brunswick-nc	high	Sarracenia flava var. cuprea 'Clone A' Brunswick Co, NC	1	
F86	S. flava var. cuprea	Horry Co, SC	Sarracenia	flava	cuprea			sarracenia/flava/var-cuprea/horry-sc	medium	Sarracenia flava var. cuprea Horry Co, SC	1	
F88	S. flava var. cuprea 'tendril'	Brunswick Co, NC	Sarracenia	flava	cuprea	tendril		sarracenia/flava/var-cuprea/tendril-brunswick-nc	high	Sarracenia flava var. cuprea 'tendril' Brunswick Co, NC	1	
F89	S. flava var. cuprea (Lois x botanique) 'select'	Cross Breeding	Sarracenia	flava	cuprea	select		sarracenia/flava/var-cuprea/botanique-x-chocolate-top	high	Sarracenia flava var. cuprea (Botanique × 'Chocolate Top') — select clone	2	sarracenia/flava/var-cuprea/lois-x-botanique-select
F90	S. flava 'Bronze'	Cultivated Clone	Sarracenia	flava		Bronze		sarracenia/flava/bronze-sheridan	high	Sarracenia flava 'Bronze' (Sheridan source)	1	
F91	S. 'Waccamaw'	Registered Cultivar	Sarracenia			Waccamaw		sarracenia/flava/var-atropurpurea/waccamaw	high	Sarracenia flava var. atropurpurea 'Waccamaw'	1	
